old_id	new_id	action	char	cov
vol01:10:2:2	vol01:10:2:3	rekey	於	0.9997
vol01:10:2:3	vol01:10:2:4	rekey	周	0.9996
vol01:10:2:4	vol01:10:2:5	rekey	禮	0.9995
vol01:10:2:5	vol01:10:2:6	rekey	先	0.9997
vol01:10:2:6	vol01:10:2:7	rekey	列	0.9996
vol01:10:2:7	vol01:10:2:8	rekey	冬	0.9995
vol01:10:2:8	vol01:10:2:9	rekey	官	0.9997
vol01:10:3:9	vol01:10:3:10	rekey	至	0.9995
vol01:10:3:10	vol01:10:3:11	rekey	載	0.9996
vol01:10:3:11	vol01:10:3:12	rekey	入	0.9998
vol01:10:3:12	vol01:10:3:13	rekey	六	0.9995
vol01:10:3:13	vol01:10:3:14	rekey	書	0.9994
vol01:10:3:14	vol01:10:3:15	rekey	篆	0.9994
vol01:10:3:15	vol01:10:3:16	rekey	𨽾	0.999
vol01:10:3:16	vol01:10:3:17	rekey	眞	0.9983
vol01:10:3:17	vol01:10:3:18	rekey	草	0.9991
vol01:10:3:18	vol01:10:3:19	rekey	字	0.9992
vol01:10:3:1	vol01:10:3:2	rekey	秋	0.9996
vol01:10:3:19	vol01:10:3:20	rekey	樣	0.9993
vol01:10:3:2	vol01:10:3:3	rekey	之	0.9992
vol01:10:3:3	vol01:10:3:4	rekey	序	0.9997
vol01:10:3:4	vol01:10:3:5	rekey	前	0.9995
vol01:10:3:5	vol01:10:3:6	rekey	後	0.9996
vol01:10:3:6	vol01:10:3:7	rekey	錯	0.9995
vol01:10:3:7	vol01:10:3:8	rekey	互	0.9996
vol01:10:3:8	vol01:10:3:9	rekey	甚	0.9995
vol01:10:4:9	vol01:10:4:10	rekey	描	0.9994
vol01:10:4:10	vol01:10:4:11	rekey	頭	0.9994
vol01:10:4:11	vol01:10:4:12	rekey	畫	0.9995
vol01:10:4:12	vol01:10:4:13	rekey	角	0.9996
vol01:10:4:13	vol01:10:4:14	rekey	支	0.9995
vol01:10:4:14	vol01:10:4:15	rekey	離	0.9995
vol01:10:4:15	vol01:10:4:16	rekey	無	0.9994
vol01:10:4:17	vol01:10:4:18	rekey	至	0.9993
vol01:10:4:18	vol01:10:4:19	rekey	儒	0.999
vol01:10:4:1	vol01:10:4:2	rekey	拾	0.9996
vol01:10:4:19	vol01:10:4:20	rekey	書	0.9994
vol01:10:4:20	vol01:10:4:21	rekey	之	0.9997
vol01:10:4:2	vol01:10:4:3	rekey	米	0.9997
vol01:10:4:3	vol01:10:4:4	rekey	芾	0.9994
vol01:10:4:4	vol01:10:4:5	rekey	趙	0.9996
vol01:10:4:5	vol01:10:4:6	rekey	孟	0.9996
vol01:10:4:6	vol01:10:4:7	rekey	頫	0.9995
vol01:10:4:7	vol01:10:4:8	rekey	字	0.9994
vol01:10:4:8	vol01:10:4:9	rekey	格	0.9996
vol01:10:5:9	vol01:10:5:10	rekey	古	0.9997
vol01:10:5:10	vol01:10:5:11	rekey	柱	0.9996
vol01:10:5:11	vol01:10:5:12	rekey	下	0.9996
vol01:10:5:12	vol01:10:5:13	rekey	史	0.9993
vol01:10:5:13	vol01:10:5:14	rekey	專	0.9991
vol01:10:5:14	vol01:10:5:15	rekey	掌	0.9992
vol01:10:5:15	vol01:10:5:16	rekey	藏	0.9995
vol01:10:5:16	vol01:10:5:17	rekey	書	0.9994
vol01:10:5:17	vol01:10:5:18	rekey	守	0.9996
vol01:10:5:18	vol01:10:5:19	rekey	先	0.9996
vol01:10:5:1	vol01:10:5:2	rekey	外	0.9996
vol01:10:5:19	vol01:10:5:20	rekey	待	0.9994
vol01:10:5:20	vol01:10:5:21	rekey	後	0.9994
vol01:10:5:2	vol01:10:5:3	rekey	闌	0.9995
vol01:10:5:3	vol01:10:5:4	rekey	入	0.9997
vol01:10:5:4	vol01:10:5:5	rekey	釋	0.9995
vol01:10:5:5	vol01:10:5:6	rekey	典	0.9987
vol01:10:5:6	vol01:10:5:7	rekey	道	0.9994
vol01:10:5:7	vol01:10:5:8	rekey	經	0.9994
vol01:10:5:8	vol01:10:5:9	rekey	於	0.9995
vol01:10:6:9	vol01:10:6:10	rekey	朕	0.9995
vol01:10:6:10	vol01:10:6:11	rekey	意	0.9996
vol01:10:6:11	vol01:10:6:12	rekey	從	0.9994
vol01:10:6:12	vol01:10:6:13	rekey	來	0.9996
vol01:10:6:13	vol01:10:6:14	rekey	四	0.9995
vol01:10:6:14	vol01:10:6:15	rekey	庫	0.9995
vol01:10:6:15	vol01:10:6:16	rekey	書	0.9983
vol01:10:6:16	vol01:10:6:17	rekey	目	0.9991
vol01:10:6:17	vol01:10:6:18	rekey	以	0.9997
vol01:10:6:18	vol01:10:6:19	rekey	經	0.9995
vol01:10:6:1	vol01:10:6:2	rekey	之	0.9997
vol01:10:6:19	vol01:10:6:20	rekey	史	0.9995
vol01:10:6:2	vol01:10:6:3	rekey	義	0.9993
vol01:10:6:4	vol01:10:6:5	rekey	爲	0.9994
vol01:10:6:5	vol01:10:6:6	rekey	鑿	0.9995
vol01:10:6:6	vol01:10:6:7	rekey	枘	0.9996
vol01:10:6:7	vol01:10:6:8	rekey	不	0.9996
vol01:10:6:8	vol01:10:6:9	rekey	合	0.9995
vol01:10:7:1	vol01:10:7:1	rekey_in_place	集	0.9995
vol01:10:7:11	vol01:10:7:12	rekey	今	0.9993
vol01:10:7:12	vol01:10:7:13	rekey	不	0.9991
vol01:10:7:13	vol01:10:7:14	rekey	易	0.9993
vol01:10:7:14	vol01:10:7:15	rekey	之	0.9994
vol01:10:7:15	vol01:10:7:16	rekey	法	0.9994
vol01:10:7:16	vol01:10:7:17	rekey	是	0.9994
vol01:10:7:17	vol01:10:7:18	rekey	書	0.9991
vol01:10:7:18	vol01:10:7:19	rekey	既	0.9995
vol01:10:7:2	vol01:10:7:2	rekey_in_place	爲	0.9993
vol01:10:7:19	vol01:10:7:20	rekey	遺	0.9993
vol01:10:7:20	vol01:10:7:21	rekey	編	0.9994
vol01:10:7:3	vol01:10:7:3	rekey_in_place	綱	0.9992
vol01:10:7:4	vol01:10:7:4	rekey_in_place	領	0.9992
vol01:10:7:5	vol01:10:7:5	rekey_in_place	裒	0.9996
vol01:10:7:6	vol01:10:7:6	rekey_in_place	輯	0.9994
vol01:10:7:7	vol01:10:7:7	rekey_in_place	分	0.9994
vol01:10:7:8	vol01:10:7:8	rekey_in_place	儲	0.9994
vol01:10:8:9	vol01:10:8:10	rekey	所	0.9996
vol01:10:8:10	vol01:10:8:11	rekey	登	0.9995
vol01:10:8:11	vol01:10:8:12	rekey	用	0.9996
vol01:10:8:12	vol01:10:8:13	rekey	廣	0.9995
vol01:10:8:13	vol01:10:8:14	rekey	石	0.9995
vol01:10:8:14	vol01:10:8:15	rekey	渠	0.9994
vol01:10:8:15	vol01:10:8:16	rekey	金	0.9996
vol01:10:8:16	vol01:10:8:17	rekey	匱	0.9993
vol01:10:8:17	vol01:10:8:18	rekey	之	0.9997
vol01:10:8:18	vol01:10:8:19	rekey	藏	0.9994
vol01:10:8:1	vol01:10:8:2	rekey	淵	0.9993
vol01:10:8:19	vol01:10:8:20	rekey	較	0.9994
vol01:10:8:2	vol01:10:8:3	rekey	海	0.9995
vol01:10:8:3	vol01:10:8:4	rekey	若	0.9996
vol01:10:8:4	vol01:10:8:5	rekey	準	0.9994
vol01:10:8:5	vol01:10:8:6	rekey	此	0.9997
vol01:10:8:6	vol01:10:8:7	rekey	以	0.9997
vol01:10:8:7	vol01:10:8:8	rekey	採	0.9996
vol01:10:8:8	vol01:10:8:9	rekey	擷	0.9996
vol01:10:9:9	vol01:10:9:10	rekey	華	0.9991
vol01:10:9:10	vol01:10:9:11	rekey	裘	0.9993
vol01:10:9:11	vol01:10:9:12	rekey	曰	0.9996
vol01:10:9:14	vol01:10:9:15	rekey	總	0.9995
vol01:10:9:15	vol01:10:9:16	rekey	裁	0.9995
vol01:10:9:16	vol01:10:9:17	rekey	官	0.9994
vol01:10:9:18	vol01:10:9:19	rekey	令	0.9994
vol01:10:9:1	vol01:10:9:2	rekey	有	0.9997
vol01:10:9:19	vol01:10:9:20	rekey	同	0.9997
vol01:10:9:2	vol01:10:9:3	rekey	益	0.9995
vol01:10:9:3	vol01:10:9:4	rekey	著	0.9996
vol01:10:9:4	vol01:10:9:5	rekey	再	0.9997
vol01:10:9:5	vol01:10:9:6	rekey	添	0.9997
vol01:10:9:6	vol01:10:9:7	rekey	派	0.9997
vol01:10:9:7	vol01:10:9:8	rekey	王	0.9997
vol01:10:9:8	vol01:10:9:9	rekey	際	0.9994
vol01:11:1:9	vol01:11:1:10	rekey	定	0.9998
vol01:11:1:10	vol01:11:1:11	rekey	條	0.9994
vol01:11:1:11	vol01:11:1:12	rekey	例	0.9996
vol01:11:1:12	vol01:11:1:13	rekey	將	0.9994
vol01:11:1:13	vol01:11:1:14	rekey	永	0.9996
vol01:11:1:14	vol01:11:1:15	rekey	樂	0.9994
vol01:11:1:15	vol01:11:1:16	rekey	大	0.9995
vol01:11:1:16	vol01:11:1:17	rekey	典	0.9994
vol01:11:1:17	vol01:11:1:18	rekey	詳	0.9992
vol01:11:1:18	vol01:11:1:19	rekey	悉	0.9994
vol01:11:1:19	vol01:11:1:20	rekey	校	0.9994
vol01:11:1:20	vol01:11:1:21	rekey	核	0.9993
vol01:11:1:2	vol01:11:1:3	rekey	分	0.9996
vol01:11:1:3	vol01:11:1:4	rekey	校	0.9995
vol01:11:1:4	vol01:11:1:5	rekey	各	0.9996
vol01:11:1:5	vol01:11:1:6	rekey	員	0.9992
vol01:11:1:6	vol01:11:1:7	rekey	悉	0.9995
vol01:11:1:7	vol01:11:1:8	rekey	心	0.9996
vol01:11:1:8	vol01:11:1:9	rekey	酌	0.9994
vol01:11:2:9	vol01:11:2:10	rekey	雖	0.9993
vol01:11:2:10	vol01:11:2:11	rekey	屬	0.9995
vol01:11:2:11	vol01:11:2:12	rekey	古	0.9994
vol01:11:2:12	vol01:11:2:13	rekey	書	0.9995
vol01:11:2:13	vol01:11:2:14	rekey	而	0.9994
vol01:11:2:14	vol01:11:2:15	rekey	詞	0.9996
vol01:11:2:15	vol01:11:2:16	rekey	義	0.9993
vol01:11:2:16	vol01:11:2:17	rekey	無	0.9993
vol01:11:2:17	vol01:11:2:18	rekey	關	0.9994
vol01:11:2:18	vol01:11:2:19	rekey	典	0.9994
vol01:11:2:1	vol01:11:2:2	rekey	除	0.9995
vol01:11:2:19	vol01:11:2:20	rekey	要	0.9995
vol01:11:2:20	vol01:11:2:21	rekey	者	0.9995
vol01:11:2:2	vol01:11:2:3	rekey	本	0.9995
vol01:11:2:3	vol01:11:2:4	rekey	係	0.9996
vol01:11:2:4	vol01:11:2:5	rekey	現	0.9993
vol01:11:2:5	vol01:11:2:6	rekey	在	0.9994
vol01:11:2:6	vol01:11:2:7	rekey	通	0.9996
vol01:11:2:7	vol01:11:2:8	rekey	行	0.9993
vol01:11:2:8	vol01:11:2:9	rekey	及	0.9995
vol01:11:3:9	vol01:11:3:10	rekey	有	0.9991
vol01:11:3:10	vol01:11:3:11	rekey	實	0.9996
vol01:11:3:11	vol01:11:3:12	rekey	在	0.9995
vol01:11:3:12	vol01:11:3:13	rekey	流	0.9996
vol01:11:3:13	vol01:11:3:14	rekey	傳	0.9994
vol01:11:3:14	vol01:11:3:15	rekey	已	0.9998
vol01:11:3:15	vol01:11:3:16	rekey	少	0.9996
vol01:11:3:16	vol01:11:3:17	rekey	其	0.9995
vol01:11:3:17	vol01:11:3:18	rekey	書	0.9991
vol01:11:3:18	vol01:11:3:19	rekey	足	0.9995
vol01:11:3:19	vol01:11:3:20	rekey	資	0.9994
vol01:11:3:20	vol01:11:3:21	rekey	啟	0.9993
vol01:11:3:2	vol01:11:3:3	rekey	必	0.9996
vol01:11:3:3	vol01:11:3:4	rekey	再	0.9994
vol01:11:3:4	vol01:11:3:5	rekey	行	0.9995
vol01:11:3:5	vol01:11:3:6	rekey	採	0.9992
vol01:11:3:6	vol01:11:3:7	rekey	錄	0.9993
vol01:11:3:7	vol01:11:3:8	rekey	外	0.9994
vol01:11:3:8	vol01:11:3:9	rekey	其	0.9995
vol01:11:4:9	vol01:11:4:10	rekey	卽	0.9994
vol01:11:4:10	vol01:11:4:11	rekey	將	0.9995
vol01:11:4:11	vol01:11:4:12	rekey	書	0.9995
vol01:11:4:12	vol01:11:4:13	rekey	名	0.9997
vol01:11:4:13	vol01:11:4:14	rekey	摘	0.9996
vol01:11:4:14	vol01:11:4:15	rekey	出	0.9997
vol01:11:4:15	vol01:11:4:16	rekey	撮	0.9994
vol01:11:4:16	vol01:11:4:17	rekey	取	0.9997
vol01:11:4:17	vol01:11:4:18	rekey	著	0.9996
vol01:11:4:18	vol01:11:4:19	rekey	書	0.9995
vol01:11:4:19	vol01:11:4:20	rekey	大	0.9995
vol01:11:4:20	vol01:11:4:21	rekey	㫖	0.9954
vol01:11:4:2	vol01:11:4:3	rekey	後	0.9995
vol01:11:4:3	vol01:11:4:4	rekey	學	0.9997
vol01:11:4:4	vol01:11:4:5	rekey	廣	0.9991
vol01:11:4:5	vol01:11:4:6	rekey	益	0.9995
vol01:11:4:6	vol01:11:4:7	rekey	多	0.9995
vol01:11:4:7	vol01:11:4:8	rekey	聞	0.9995
vol01:11:4:8	vol01:11:4:9	rekey	者	0.9994
vol01:11:5:9	vol01:11:5:10	rekey	裁	0.9995
vol01:11:5:10	vol01:11:5:11	rekey	定	0.9996
vol01:11:5:11	vol01:11:5:12	rekey	彚	0.9993
vol01:11:5:12	vol01:11:5:13	rekey	付	0.9996
vol01:11:5:13	vol01:11:5:14	rekey	剞	0.9995
vol01:11:5:14	vol01:11:5:15	rekey	劂	0.9994
vol01:11:5:15	vol01:11:5:16	rekey	其	0.9993
vol01:11:5:16	vol01:11:5:17	rekey	中	0.9996
vol01:11:5:17	vol01:11:5:18	rekey	有	0.9997
vol01:11:5:18	vol01:11:5:19	rekey	書	0.9994
vol01:11:5:1	vol01:11:5:2	rekey	敘	0.9996
vol01:11:5:20	vol01:11:5:21	rekey	可	0.9996
vol01:11:5:2	vol01:11:5:3	rekey	列	0.9994
vol01:11:5:3	vol01:11:5:4	rekey	目	0.9998
vol01:11:5:4	vol01:11:5:5	rekey	錄	0.9995
vol01:11:5:5	vol01:11:5:6	rekey	進	0.9994
vol01:11:5:6	vol01:11:5:7	rekey	呈	0.9993
vol01:11:5:8	vol01:11:5:9	rekey	朕	0.9997
vol01:11:6:11	vol01:11:6:12	rekey	須	0.9996
vol01:11:6:12	vol01:11:6:13	rekey	注	0.9995
vol01:11:6:13	vol01:11:6:14	rekey	出	0.9995
vol01:11:6:14	vol01:11:6:15	rekey	簡	0.9995
vol01:11:6:15	vol01:11:6:16	rekey	明	0.9995
vol01:11:6:16	vol01:11:6:17	rekey	畧	0.9993
vol01:11:6:17	vol01:11:6:18	rekey	節	0.9995
vol01:11:6:18	vol01:11:6:19	rekey	以	0.9995
vol01:11:6:19	vol01:11:6:20	rekey	佐	0.9994
vol01:11:6:20	vol01:11:6:21	rekey	流	0.9995
vol01:11:6:2	vol01:11:6:3	rekey	而	0.9995
vol01:11:6:3	vol01:11:6:4	rekey	其	0.9995
vol01:11:6:4	vol01:11:6:5	rekey	名	0.9995
vol01:11:6:5	vol01:11:6:6	rekey	未	0.9995
vol01:11:6:6	vol01:11:6:7	rekey	可	0.9997
vol01:11:6:7	vol01:11:6:8	rekey	盡	0.9998
vol01:11:6:8	vol01:11:6:9	rekey	滅	0.9995
vol01:11:7:9	vol01:11:7:10	rekey	全	0.9996
vol01:11:7:10	vol01:11:7:11	rekey	部	0.9995
vol01:11:7:11	vol01:11:7:12	rekey	付	0.9995
vol01:11:7:12	vol01:11:7:13	rekey	梓	0.9993
vol01:11:7:13	vol01:11:7:14	rekey	副	0.9996
vol01:11:7:14	vol01:11:7:15	rekey	朕	0.9994
vol01:11:7:15	vol01:11:7:16	rekey	裨	0.9993
vol01:11:7:16	vol01:11:7:17	rekey	補	0.9995
vol01:11:7:17	vol01:11:7:18	rekey	闕	0.9994
vol01:11:7:18	vol01:11:7:19	rekey	遺	0.9993
vol01:11:7:1	vol01:11:7:2	rekey	傳	0.9995
vol01:11:7:19	vol01:11:7:20	rekey	嘉	0.9993
vol01:11:7:20	vol01:11:7:21	rekey	惠	0.9964
vol01:11:7:2	vol01:11:7:3	rekey	考	0.9993
vol01:11:7:3	vol01:11:7:4	rekey	訂	0.9996
vol01:11:7:4	vol01:11:7:5	rekey	之	0.9997
vol01:11:7:5	vol01:11:7:6	rekey	用	0.9997
vol01:11:7:6	vol01:11:7:7	rekey	不	0.9996
vol01:11:7:7	vol01:11:7:8	rekey	必	0.9995
vol01:11:7:8	vol01:11:7:9	rekey	將	0.9995
vol01:11:8:9	vol01:11:8:10	rekey	帙	0.9995
vol01:11:8:10	vol01:11:8:11	rekey	如	0.9996
vol01:11:8:11	vol01:11:8:12	rekey	此	0.9997
vol01:11:8:12	vol01:11:8:13	rekey	繁	0.9995
vol01:11:8:13	vol01:11:8:14	rekey	重	0.9995
vol01:11:8:14	vol01:11:8:15	rekey	而	0.9995
vol01:11:8:15	vol01:11:8:16	rekey	明	0.9997
vol01:11:8:16	vol01:11:8:17	rekey	代	0.9996
vol01:11:8:17	vol01:11:8:18	rekey	蕆	0.9994
vol01:11:8:18	vol01:11:8:19	rekey	役	0.9994
vol01:11:8:1	vol01:11:8:2	rekey	士	0.9996
vol01:11:8:19	vol01:11:8:20	rekey	僅	0.9994
vol01:11:8:20	vol01:11:8:21	rekey	閱	0.9993
vol01:11:8:2	vol01:11:8:3	rekey	林	0.9994
vol01:11:8:3	vol01:11:8:4	rekey	至	0.9993
vol01:11:8:4	vol01:11:8:5	rekey	意	0.9993
vol01:11:8:5	vol01:11:8:6	rekey	再	0.9995
vol01:11:8:6	vol01:11:8:7	rekey	是	0.9997
vol01:11:8:7	vol01:11:8:8	rekey	書	0.9995
vol01:11:8:8	vol01:11:8:9	rekey	卷	0.9995
vol01:11:9:9	vol01:11:9:10	rekey	輯	0.9993
vol01:11:9:10	vol01:11:9:11	rekey	更	0.9997
vol01:11:9:11	vol01:11:9:12	rekey	係	0.9996
vol01:11:9:12	vol01:11:9:13	rekey	棄	0.9976
vol01:11:9:13	vol01:11:9:14	rekey	多	0.9997
vol01:11:9:14	vol01:11:9:15	rekey	取	0.9996
vol01:11:9:15	vol01:11:9:16	rekey	少	0.9996
vol01:11:9:16	vol01:11:9:17	rekey	自	0.9997
vol01:11:9:17	vol01:11:9:18	rekey	當	0.9994
vol01:11:9:18	vol01:11:9:19	rekey	刻	0.9996
vol01:11:9:19	vol01:11:9:20	rekey	期	0.9995
vol01:11:9:2	vol01:11:9:3	rekey	年	0.9992
vol01:11:9:3	vol01:11:9:4	rekey	今	0.9995
vol01:11:9:4	vol01:11:9:5	rekey	諸	0.9992
vol01:11:9:5	vol01:11:9:6	rekey	臣	0.9995
vol01:11:9:6	vol01:11:9:7	rekey	從	0.9995
vol01:11:9:7	vol01:11:9:8	rekey	事	0.9995
vol01:11:9:8	vol01:11:9:9	rekey	釐	0.9994
vol01:12:1:9	vol01:12:1:10	rekey	誚	0.9993
vol01:12:1:10	vol01:12:1:11	rekey	汗	0.9997
vol01:12:1:11	vol01:12:1:12	rekey	青	0.9995
vol01:12:1:12	vol01:12:1:13	rekey	無	0.9996
vol01:12:1:13	vol01:12:1:14	rekey	日	0.9997
vol01:12:1:14	vol01:12:1:15	rekey	仍	0.9996
vol01:12:1:15	vol01:12:1:16	rekey	將	0.9997
vol01:12:1:16	vol01:12:1:17	rekey	應	0.9995
vol01:12:1:17	vol01:12:1:18	rekey	定	0.9995
vol01:12:1:18	vol01:12:1:19	rekey	條	0.9994
vol01:12:1:1	vol01:12:1:2	rekey	竣	0.9995
vol01:12:1:19	vol01:12:1:20	rekey	例	0.9997
vol01:12:1:2	vol01:12:1:3	rekey	不	0.9997
vol01:12:1:3	vol01:12:1:4	rekey	得	0.9996
vol01:12:1:4	vol01:12:1:5	rekey	任	0.9995
vol01:12:1:5	vol01:12:1:6	rekey	意	0.9995
vol01:12:1:6	vol01:12:1:7	rekey	稽	0.9994
vol01:12:1:7	vol01:12:1:8	rekey	延	0.9995
vol01:12:1:8	vol01:12:1:9	rekey	徒	0.9996
vol01:12:2:1	vol01:12:2:2	rekey	行	0.9997
vol01:12:2:2	vol01:12:2:3	rekey	詳	0.9995
vol01:12:2:3	vol01:12:2:4	rekey	議	0.9995
vol01:12:2:4	vol01:12:2:5	rekey	具	0.9994
vol01:12:2:5	vol01:12:2:6	rekey	奏	0.9996
vol01:12:2:6	vol01:12:2:7	rekey	欽	0.9993
vol01:12:2:7	vol01:12:2:8	rekey	此	0.9995
vol01:12:3:9	vol01:12:3:10	rekey	月	0.9994
vol01:12:3:10	vol01:12:3:11	rekey	十	0.9999
vol01:12:3:11	vol01:12:3:12	rekey	七	0.9995
vol01:12:3:12	vol01:12:3:13	rekey	日	0.9999
vol01:12:3:13	vol01:12:3:14	rekey	奉	0.9995
vol01:12:3:2	vol01:12:3:3	rekey	乾	0.9996
vol01:12:3:3	vol01:12:3:4	rekey	隆	0.9995
vol01:12:3:4	vol01:12:3:5	rekey	三	0.9995
vol01:12:3:5	vol01:12:3:6	rekey	十	0.9999
vol01:12:3:6	vol01:12:3:7	rekey	八	0.9996
vol01:12:3:7	vol01:12:3:8	rekey	年	0.9996
vol01:12:3:8	vol01:12:3:9	rekey	五	0.9995
vol01:12:4:9	vol01:12:4:10	rekey	編	0.9995
vol01:12:4:10	vol01:12:4:11	rekey	彚	0.9992
vol01:12:4:11	vol01:12:4:12	rekey	爲	0.9996
vol01:12:4:12	vol01:12:4:13	rekey	四	0.9998
vol01:12:4:13	vol01:12:4:14	rekey	庫	0.9996
vol01:12:4:14	vol01:12:4:15	rekey	全	0.9995
vol01:12:4:15	vol01:12:4:16	rekey	書	0.9996
vol01:12:4:16	vol01:12:4:17	rekey	用	0.9997
vol01:12:4:17	vol01:12:4:18	rekey	昭	0.9998
vol01:12:4:18	vol01:12:4:19	rekey	石	0.9999
vol01:12:4:1	vol01:12:4:2	rekey	諭	0.9998
vol01:12:4:19	vol01:12:4:20	rekey	渠	0.9996
vol01:12:4:20	vol01:12:4:21	rekey	美	0.9993
vol01:12:4:2	vol01:12:4:3	rekey	前	0.9997
vol01:12:4:3	vol01:12:4:4	rekey	經	0.9992
vol01:12:4:4	vol01:12:4:5	rekey	降	0.9996
vol01:12:4:5	vol01:12:4:6	rekey	㫖	0.9996
vol01:12:4:6	vol01:12:4:7	rekey	博	0.9994
vol01:12:4:7	vol01:12:4:8	rekey	採	0.9995
vol01:12:4:8	vol01:12:4:9	rekey	遺	0.9995
vol01:12:5:9	vol01:12:5:10	rekey	據	0.9994
vol01:12:5:10	vol01:12:5:11	rekey	浙	0.9995
vol01:12:5:11	vol01:12:5:12	rekey	江	0.9998
vol01:12:5:12	vol01:12:5:13	rekey	江	0.9996
vol01:12:5:13	vol01:12:5:14	rekey	南	0.9994
vol01:12:5:14	vol01:12:5:15	rekey	督	0.9995
vol01:12:5:15	vol01:12:5:16	rekey	撫	0.9996
vol01:12:5:16	vol01:12:5:17	rekey	及	0.9995
vol01:12:5:17	vol01:12:5:18	rekey	兩	0.9997
vol01:12:5:1	vol01:12:5:2	rekey	備	0.9996
vol01:12:5:19	vol01:12:5:20	rekey	鹽	0.9996
vol01:12:5:20	vol01:12:5:21	rekey	政	0.9995
vol01:12:5:2	vol01:12:5:3	rekey	並	0.9993
vol01:12:5:3	vol01:12:5:4	rekey	以	0.9997
vol01:12:5:4	vol01:12:5:5	rekey	嘉	0.9996
vol01:12:5:5	vol01:12:5:6	rekey	惠	0.9995
vol01:12:5:6	vol01:12:5:7	rekey	藝	0.9995
vol01:12:5:7	vol01:12:5:8	rekey	林	0.9993
vol01:12:5:8	vol01:12:5:9	rekey	旋	0.9995
vol01:12:6:9	vol01:12:6:10	rekey	書	0.9997
vol01:12:6:11	vol01:12:6:12	rekey	不	0.9998
vol01:12:6:12	vol01:12:6:13	rekey	下	0.9997
vol01:12:6:13	vol01:12:6:14	rekey	四	0.9996
vol01:12:6:14	vol01:12:6:15	rekey	五	0.9997
vol01:12:6:15	vol01:12:6:16	rekey	千	0.9996
vol01:12:6:16	vol01:12:6:17	rekey	種	0.9995
vol01:12:6:17	vol01:12:6:18	rekey	並	0.9995
vol01:12:6:18	vol01:12:6:19	rekey	有	0.9997
vol01:12:6:1	vol01:12:6:2	rekey	等	0.9994
vol01:12:6:19	vol01:12:6:20	rekey	稱	0.9995
vol01:12:6:2	vol01:12:6:3	rekey	奏	0.9994
vol01:12:6:3	vol01:12:6:4	rekey	到	0.9995
vol01:12:6:4	vol01:12:6:5	rekey	購	0.9994
vol01:12:6:5	vol01:12:6:6	rekey	求	0.9994
vol01:12:6:6	vol01:12:6:7	rekey	呈	0.9995
vol01:12:6:7	vol01:12:6:8	rekey	送	0.9996
vol01:12:6:8	vol01:12:6:9	rekey	之	0.9995
vol01:12:7:9	vol01:12:7:10	rekey	呈	0.9994
vol01:12:7:10	vol01:12:7:11	rekey	獻	0.9992
vol01:12:7:11	vol01:12:7:12	rekey	者	0.9996
vol01:12:7:12	vol01:12:7:13	rekey	固	0.9997
vol01:12:7:13	vol01:12:7:14	rekey	屬	0.9997
vol01:12:7:14	vol01:12:7:15	rekey	踴	0.9995
vol01:12:7:15	vol01:12:7:16	rekey	躍	0.9994
vol01:12:7:16	vol01:12:7:17	rekey	奉	0.9995
vol01:12:7:17	vol01:12:7:18	rekey	公	0.9996
vol01:12:7:18	vol01:12:7:19	rekey	尚	0.9994
